,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
28,cogproc,-0.04308656940261069,0.44242981913149715,,11.645406249999999,2.9572217468361988,320,44.15,6.986773218017027,320
29,emo_neg,-0.17808851439676066,0.0013795950104724367,Negative,0.9685312500000001,0.8873728952776491,320,44.15,6.986773218017027,320
30,mental,-0.12662276313595627,0.023490695395661575,Negative,0.14837499999999998,0.21841871342675745,320,44.15,6.986773218017027,320
31,number,0.01267310728803761,0.8213372610404933,,0.38721875,0.3476071088865093,320,44.15,6.986773218017027,320
32,wellness,0.13677926422258835,0.014336242849948881,Positive,0.02359375,0.07754368098650914,320,44.15,6.986773218017027,320
33,Conversation,-0.10102153460681745,0.07112545113063756,,0.010312499999999999,0.04844999838751287,320,44.15,6.986773218017027,320
34,AllPunc,-0.010891207642906936,0.8461201446489214,,12.12525,1.5238515962848878,320,44.15,6.986773218017027,320
35,male,0.04700179893892642,0.4020494108789163,,0.12028124999999998,0.29771984884860714,320,44.15,6.986773218017027,320
36,allnone,0.12369713541105959,0.026924784941542275,Positive,1.8935937500000002,1.0919869607559138,320,44.15,6.986773218017027,320
37,you,-0.035129362551583436,0.5312183461364333,,0.0016250000000000001,0.02050571566661354,320,44.15,6.986773218017027,320
38,WPS,-0.0649525987139574,0.2466256616027527,,16.106625,1.6597572817659214,320,44.15,6.986773218017027,320
39,illness,-0.08894152243142792,0.11229613914678468,,0.0044375,0.04296432931805175,320,44.15,6.986773218017027,320
40,OtherP,-0.009414699981487919,0.8667721440905743,,0.26678125,0.31408689426405156,320,44.15,6.986773218017027,320
41,pronoun,-0.15138480121988154,0.006665500172294603,Negative,16.576749999999997,1.7412210334991935,320,44.15,6.986773218017027,320
42,Tone,0.27931460479349424,3.806097166553114e-07,Positive,79.61475,23.987063530421974,320,44.15,6.986773218017027,320
43,tech,-0.014668189323951336,0.7937996385507801,,0.10984374999999999,0.221367145452837,320,44.15,6.986773218017027,320
44,home,-0.02428777574987138,0.665133495450634,,0.2868125,0.3299211494338458,320,44.15,6.986773218017027,320
45,emo_sad,-0.012812982615469117,0.8193990115981278,,0.078,0.16087378593170487,320,44.15,6.986773218017027,320
46,we,0.17096712728417324,0.0021476831359884116,Positive,0.56065625,0.966412441370628,320,44.15,6.986773218017027,320
47,Perception,0.15778710699953652,0.004665282798156611,Positive,10.149375000000001,1.9846269131438785,320,44.15,6.986773218017027,320
48,visual,0.10188643860740279,0.06872747163679725,,0.5174375,0.5275767087294037,320,44.15,6.986773218017027,320
49,Clout,0.19938675987799515,0.0003320987621343391,Positive,7.16028125,12.6625822399461,320,44.15,6.986773218017027,320
50,ppron,-0.09970744643777232,0.07489906326482614,,14.1703125,1.5563793809170534,320,44.15,6.986773218017027,320
51,work,-0.041593271888047186,0.4584192231647861,,2.0511562499999996,1.0262575702940941,320,44.15,6.986773218017027,320
52,focusfuture,-0.07432123162839793,0.18479644128063383,,0.331,0.4013908631247104,320,44.15,6.986773218017027,320
53,reward,0.2096881151701371,0.000157822538516202,Positive,0.29171874999999997,0.3059133593003704,320,44.15,6.986773218017027,320
54,adj,-0.0015587260154458276,0.9778422116437298,,7.479625,1.3542725849602806,320,44.15,6.986773218017027,320
55,moral,0.009485844225566841,0.8657748494066692,,0.20862499999999998,0.24154965198691553,320,44.15,6.986773218017027,320
56,Exclam,-0.02241324886426489,0.6895826023057497,,0.00246875,0.025381445456031465,320,44.15,6.986773218017027,320
57,Comma,-0.002322962863497268,0.9669834986297468,,5.147375,1.3287962068635657,320,44.15,6.986773218017027,320
58,conflict,-0.22878934691046118,3.602106933229712e-05,Negative,0.22459375,0.3427277855105091,320,44.15,6.986773218017027,320
59,affiliation,0.1127088786192333,0.04393276572342369,Positive,2.7181875,1.7607732221509247,320,44.15,6.986773218017027,320
60,quantity,-0.10963479201646494,0.0500610047422329,,2.9420625,1.2136319957440764,320,44.15,6.986773218017027,320
61,tone_pos,0.2409858234049893,1.3100663884521235e-05,Positive,6.333,1.8139481456204862,320,44.15,6.986773218017027,320
62,comm,0.012427180470996396,0.8247476904667008,,0.77196875,0.5047259766679714,320,44.15,6.986773218017027,320
63,swear,,,,0.0,0.0,320,44.15,6.986773218017027,320
64,Analytic,0.0921984313740672,0.09969174985618688,,30.67446875,14.825931074228473,320,44.15,6.986773218017027,320
65,conj,0.0032807492333185423,0.9533835605711405,,9.897937500000001,1.3279914800531478,320,44.15,6.986773218017027,320
66,need,0.025496375229218417,0.6495538492209838,,0.1958125,0.31782753160126015,320,44.15,6.986773218017027,320
67,substances,,,,0.0,0.0,320,44.15,6.986773218017027,320
68,leisure,0.15598542104457455,0.005164813389870835,Positive,1.35490625,0.9514554593941523,320,44.15,6.986773218017027,320
69,filler,,,,0.0,0.0,320,44.15,6.986773218017027,320
70,certitude,-0.08168077254467547,0.14487660116426063,,0.20975000000000002,0.34488847835206093,320,44.15,6.986773218017027,320
71,Affect,0.10174010100280678,0.06912848647504864,,8.08575,1.7616803235831409,320,44.15,6.986773218017027,320
72,auxverb,-0.06740996731963346,0.22916386022093566,,8.846781250000001,1.5348273362656915,320,44.15,6.986773218017027,320
73,i,-0.16547865888589577,0.002986888343867428,Negative,12.703218750000001,1.766027307871664,320,44.15,6.986773218017027,320
74,assent,-0.10102153460681745,0.07112545113063756,,0.010312499999999999,0.04844999838751287,320,44.15,6.986773218017027,320
75,QMark,,,,0.0,0.0,320,44.15,6.986773218017027,320
76,Authentic,0.011839346125155763,0.8329128142643663,,97.62228125,3.7757549885285773,320,44.15,6.986773218017027,320
77,article,0.11206126704236595,0.04516852695916301,Positive,5.995,1.5382741953240975,320,44.15,6.986773218017027,320
78,family,0.05770503291967902,0.30344339381217367,,1.5816875000000001,0.9438466651653488,320,44.15,6.986773218017027,320
79,relig,0.019869789869953424,0.7232747167558594,,0.05325,0.1767574255865931,320,44.15,6.986773218017027,320
80,function,-0.2216642942563271,6.344944403556592e-05,Negative,61.056593750000005,2.9861426765914816,320,44.15,6.986773218017027,320
81,Emoji,,,,0.0,0.0,320,44.15,6.986773218017027,320
82,allure,-0.040421593094642945,0.47118744329899864,,5.57196875,1.2948391064234341,320,44.15,6.986773218017027,320
