,variable,p-val,cohensd,male_mean,male_std,male_len,female_mean,female_std,female_len,effect,test
24,ipron,0.7762625274828621,0.0,2.40625,0.9317998376797455,160,2.40675,0.985394939859141,160,13036.0,m-w-test
25,male,0.6314248482427565,0.0,0.12125,0.29823595943480724,160,0.1193125,0.29719968429281685,160,13198.5,m-w-test
26,QMark,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
27,socrefs,0.3870842105123437,0.0,4.9405624999999995,1.9913441587515077,160,5.1325625,2.0726225074995566,160,12082.5,m-w-test
28,discrep,0.3752610881731422,0.0,1.3251249999999999,0.6673688892771373,160,1.2657500000000002,0.6546044129854305,160,13535.0,m-w-test
29,relig,0.1858198112825394,0.0,0.033999999999999996,0.14385409274678282,160,0.0725,0.2026110806446676,160,11703.5,m-w-test
30,lack,0.4656081452306157,0.0,0.07475,0.2107574138672232,160,0.057499999999999996,0.19710720433307352,160,13405.0,m-w-test
31,Conversation,0.8426469708712272,0.0,0.008562499999999999,0.043529399188938965,160,0.0120625,0.05285708177481992,160,12634.5,m-w-test
32,auxverb,0.36892364410762335,0.0,8.924125,1.5598847663769912,160,8.769437499999999,1.505385435227055,160,0.8095855898046421,anova
33,Emoji,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
34,article,0.8843005876533894,0.0,5.9824375000000005,1.512130428763918,160,6.007562500000001,1.5638800892631604,160,0.02121000278872133,anova
35,work,0.3497950817245826,0.0,2.146625,1.1532296429484459,160,1.9556874999999998,0.870770938504352,160,13575.0,m-w-test
36,female,0.2228319538907362,0.0,0.080875,0.2147044116337622,160,0.12937500000000002,0.29036117057037775,160,11789.5,m-w-test
37,swear,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
38,focuspresent,0.2689930642069445,0.0,0.6180625,0.625894856260818,160,0.634,0.5134274534927014,160,11883.5,m-w-test
39,memory,0.2330926911282519,0.0,0.210625,0.3334566829064909,160,0.2509375,0.35687322131780913,160,11812.0,m-w-test
40,tentat,0.13337246542705394,0.0,2.6928125,1.5087826930488533,160,2.4283124999999997,1.449374098479668,160,14043.5,m-w-test
41,AllPunc,0.3387694374342761,0.0,12.207,1.6318060546523292,160,12.043499999999998,1.402886399534902,160,0.9178442548057144,anova
42,wellness,0.9831518647543608,0.0,0.022375,0.07004897840083038,160,0.024812499999999998,0.08435766025530816,160,12818.5,m-w-test
43,verb,0.20141313585593704,0.0,16.6265625,1.9070035549504751,160,16.344375,2.0220900967501425,160,1.638873593511496,anova
44,affiliation,0.7150702614444574,0.0,2.6808749999999995,1.7485277333731368,160,2.7554999999999996,1.7721486957927655,160,12496.5,m-w-test
45,nonflu,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
46,polite,0.7195798169900285,0.0,0.03987500000000001,0.12143407419254285,160,0.038625,0.09246274587637986,160,12502.0,m-w-test
47,prep,0.7615067305895111,0.0,13.456437500000002,1.6150461862107073,160,13.476437500000003,1.3114769092872929,160,12547.5,m-w-test
48,assent,0.8426469708712272,0.0,0.008562499999999999,0.043529399188938965,160,0.0120625,0.05285708177481992,160,12634.5,m-w-test
49,auditory,0.45679470784529624,0.0,0.36324999999999996,0.34583693773222085,160,0.351625,0.3707608519989671,160,13417.5,m-w-test
50,risk,0.16948541964321961,0.0,0.387625,0.38584888152617475,160,0.43600000000000005,0.37327637214267934,160,11662.0,m-w-test
51,curiosity,0.5775400204679115,0.0,2.2878125000000002,1.3162392790992639,160,2.3269374999999997,1.2603967613786342,160,12337.5,m-w-test
52,focuspast,0.415572482839186,0.0,10.231125,1.6888960845401353,160,10.080875,1.5965675633605363,160,0.6645381359171864,anova
53,need,0.13337246542705394,0.0,0.17068750000000002,0.31704716107189795,160,0.2209375,0.31661845507447917,160,11556.5,m-w-test
54,differ,0.2228319538907362,0.0,2.7198749999999996,1.4301214928721966,160,2.4915,1.2152140757907637,160,13810.5,m-w-test
55,allure,0.3112055224602332,0.0,5.6455,1.2903898635683715,160,5.4984375,1.2951049894096422,160,1.0288266598654534,anova
56,pronoun,0.12158494069601845,0.0,16.42575,1.6116050035601155,160,16.72775,1.8495482387599413,160,2.4096371788476807,anova
57,health,0.5783651381178049,0.0,0.19875,0.2478602176631014,160,0.180125,0.23574877385683263,160,13261.5,m-w-test
58,motion,0.12661970954196242,0.0,1.5268125,0.7945080017493531,160,1.6372499999999999,0.8071910786796395,160,11534.5,m-w-test
59,we,0.5157266996562022,0.0,0.544625,1.0331800953246244,160,0.5766875,0.8943885634016963,160,12261.0,m-w-test
60,Social,0.3350535036760888,0.0,9.6164375,2.2402241369099096,160,9.8423125,2.43374305902323,160,12000.5,m-w-test
61,adj,0.799408374476422,0.0,7.498937499999999,1.3943208906466797,160,7.460312500000001,1.3127192302026165,160,0.06468152735352066,anova
62,certitude,0.5538554967952134,0.0,0.2074375,0.36986187772430673,160,0.2120625,0.3179427953166261,160,12308.5,m-w-test
63,netspeak,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
64,Lifestyle,0.37072394188027685,0.0,4.2749375,1.8382756855525642,160,4.0421249999999995,1.560983418994257,160,13542.5,m-w-test
65,focusfuture,0.9648683266832324,0.0,0.3318125,0.4058322804358347,160,0.33018749999999997,0.3968980849585319,160,12762.5,m-w-test
66,sexual,0.923572575624931,0.0,0.0,0.0,160,0.0016250000000000001,0.020490470345992547,160,12720.0,m-w-test
67,prosocial,0.5924759455662622,0.0,1.3482500000000002,0.7734141435867332,160,1.3109375,0.781732688387629,160,13244.5,m-w-test
68,friend,0.5562834734258585,0.0,0.4016875,0.2992140159547176,160,0.3898125,0.31649737730943367,160,13288.0,m-w-test
69,OtherP,0.7910992903491328,0.0,0.256625,0.2837932511089719,160,0.2769375,0.3414033480997952,160,12580.0,m-w-test
70,allnone,0.5775400204679115,0.0,1.9473125,1.148279540157252,160,1.839875,1.0298318961728656,160,13262.0,m-w-test
71,emo_pos,0.8625205400880671,0.0,1.92175,0.970918090005537,160,1.910625,0.9056100757914523,160,12656.0,m-w-test
72,acquire,0.8464251193842253,0.0,0.7309375,0.4833901075671181,160,0.7168749999999999,0.40965410332987023,160,12639.0,m-w-test
73,Linguistic,0.06868100225525219,0.0,75.95337500000001,3.06319948899431,160,75.3053125,3.2602007073712116,160,3.336862019288599,anova
74,emo_anger,0.2402775101162407,0.0,0.21912499999999996,0.29983201025741063,160,0.18325,0.28313766527963036,160,13773.5,m-w-test
75,ppron,0.0837656855290153,0.0,14.019625000000001,1.4510215744002566,160,14.321000000000002,1.641266736396007,160,3.009129666956596,anova
76,Dic,0.034069796294331885,0.249,94.8341875,1.5627769642030653,160,94.41568749999999,1.7906425599051725,160,14553.0,m-w-test
77,leisure,0.8106868530190011,0.0,1.36175,0.9406676817558898,160,1.3480625,0.9620736048212475,160,12999.0,m-w-test
78,money,0.3189536443065487,0.0,0.514,0.37377165489105774,160,0.45,0.3070403068002636,160,13626.5,m-w-test
79,mental,0.6793618070395091,0.0,0.15599999999999997,0.2262581490245158,160,0.14075,0.21001056521041983,160,13143.0,m-w-test
80,cogproc,0.3733124233777943,0.0,11.8360625,2.9251547174626076,160,11.45475,2.976758503389215,160,13538.0,m-w-test
81,Authentic,0.8417029942652242,0.0,97.5161875,4.213583372836445,160,97.728375,3.2765614383641584,160,12966.0,m-w-test
82,fatigue,0.7670303459291478,0.0,0.0073124999999999996,0.040815466967192716,160,0.0133125,0.060557017295685904,160,12554.0,m-w-test
83,tech,0.040006745709856864,0.2675,0.1391875,0.23792848682692452,160,0.08049999999999999,0.19918521531479189,160,14499.0,m-w-test
84,Exclam,0.923572575624931,0.0,0.0016250000000000001,0.020490470345992547,160,0.0033125000000000003,0.02944745054754316,160,12719.5,m-w-test
85,Apostro,0.9639064613162232,0.0,0.47506250000000005,0.6699188354522881,160,0.39956249999999993,0.49425998583109065,160,12838.0,m-w-test
86,Affect,0.5633021736257386,0.0,8.142875,1.9276343622105827,160,8.028625,1.576304018701659,160,0.3347204356094277,anova
87,moral,0.5157266996562022,0.0,0.19424999999999998,0.22105584701608774,160,0.223,0.2596410984416758,160,12260.5,m-w-test
88,WPS,0.3350535036760888,0.0,16.183687499999998,1.6586382297968867,160,16.0295625,1.6572961212751782,160,13599.0,m-w-test
89,substances,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
90,Drives,0.8767700294842958,0.0,6.2730625,1.9524298953083437,160,6.2565,1.6334676305332774,160,12670.5,m-w-test
91,reward,0.27109288974563545,0.0,0.3075625,0.3084026322743533,160,0.275875,0.3025751714450477,160,13712.5,m-w-test
92,comm,0.2520943318566716,0.0,0.7507499999999999,0.5341225865847652,160,0.7931875,0.4725560441299529,160,11850.5,m-w-test
93,emo_sad,0.6696624254141644,0.0,0.083375,0.1710368655436599,160,0.07262500000000001,0.14983110282915227,160,13154.0,m-w-test
94,they,0.06074865843734643,0.0,0.47418750000000004,0.4244267779532177,160,0.5675,0.46035855591049896,160,11248.0,m-w-test
95,Comma,0.2620134706116932,0.0,5.2309375000000005,1.3592984389359644,160,5.0638125,1.2921846191019881,160,1.2625659991908114,anova
96,tone_neg,0.6670265622093431,0.0,1.537,1.2071779073525162,160,1.4730625,1.1718324308934918,160,13157.0,m-w-test
97,power,0.11226113917811348,0.0,0.8734375,0.5610815970906103,160,0.9946874999999998,0.6347085176234442,160,11484.5,m-w-test
98,Analytic,0.6582700598529553,0.0,30.1174375,14.728577971365523,160,31.2315,14.901841756977557,160,12433.0,m-w-test
99,visual,0.8360439443739711,0.0,0.5581250000000001,0.6175599034709103,160,0.47675,0.41470855730259537,160,12972.5,m-w-test
100,i,0.7873827866632248,0.0,12.645624999999999,1.7667140004468747,160,12.760812500000002,1.763460366677899,160,12575.5,m-w-test
101,emo_neg,0.4626599101482791,0.0,0.9938125,0.8648452693076086,160,0.9432500000000001,0.9086394705822546,160,13409.5,m-w-test
102,family,0.2695169737862905,0.0,1.52225,0.9015313014532551,160,1.6411250000000002,0.9807490679959885,160,11884.5,m-w-test
103,negate,0.1866256253917685,0.0,0.9096875000000001,0.7480770530792601,160,0.7964999999999999,0.6790786036976868,160,13894.0,m-w-test
104,illness,0.8483155204215507,0.0,0.0059375,0.04811830310547119,160,0.0029375,0.03704046562544807,160,12959.5,m-w-test
105,death,1.0,0.0,0.0,0.0,160,0.0,0.0,160,12800.0,m-w-test
106,space,0.6953476733731996,0.0,6.5295000000000005,1.4833500092695586,160,6.561125,1.511844480882541,160,12475.0,m-w-test
107,emo_anx,0.8777214658461615,0.0,0.6431250000000001,0.6968278010922068,160,0.63675,0.7173410538230752,160,12928.5,m-w-test
108,det,0.506022617846134,0.0,11.8809375,2.24911365788698,160,12.042124999999999,2.0641209955753563,160,0.4432875264803877,anova
109,emotion,0.595640554504482,0.0,3.1665,1.0968416020556477,160,3.1045000000000003,0.9812465286562801,160,0.282189499199238,anova
110,number,0.5157266996562022,0.0,0.37412499999999993,0.33473195899853964,160,0.40031249999999996,0.3595455845143283,160,12260.5,m-w-test
111,cause,0.20242851097653,0.0,0.8561875000000001,0.5667581846288151,160,0.7743749999999999,0.5403953269366788,160,13856.0,m-w-test
112,home,0.6908932203087687,0.0,0.301,0.36130354274487814,160,0.272625,0.2945388079269012,160,13130.0,m-w-test
113,Perception,0.7195798169900285,0.0,10.1214375,2.0694391893925634,160,10.177312500000001,1.895612935792471,160,12501.5,m-w-test
114,BigWords,0.40462770546942606,0.0,19.0225,2.665745439834794,160,19.259687500000002,2.3955645007688164,160,0.6963844169311005,anova
115,Clout,0.42739814738169146,0.0,6.9405,13.234348765617446,160,7.380062499999999,12.059742249363946,160,12141.5,m-w-test
116,want,0.9082530553170388,0.0,0.15318749999999998,0.22274248549333825,160,0.1465625,0.20226544092788068,160,12703.5,m-w-test
117,Cognition,0.2576432382745814,0.0,13.855812500000003,3.163004598454411,160,13.352812499999999,3.1534429937520274,160,13738.0,m-w-test
