,Liwc,statistics,p-val,rel,liwc_mean,liwc_std,liwc_len,trait_mean,trait_std,trait_len
47,Perception,-0.13643107794079656,0.01458861449043112,Negative,10.149375000000001,1.9846269131438785,320,16.915625,8.414036240673974,320
48,visual,0.012599938152167001,0.822351597634982,,0.5174375,0.5275767087294037,320,16.915625,8.414036240673974,320
49,Clout,-0.1442312987597352,0.00977997100382876,Negative,7.16028125,12.6625822399461,320,16.915625,8.414036240673974,320
50,ppron,0.0496014254367829,0.37649677814481675,,14.1703125,1.5563793809170534,320,16.915625,8.414036240673974,320
51,work,-0.06540885222482931,0.24331534057917423,,2.0511562499999996,1.0262575702940941,320,16.915625,8.414036240673974,320
52,focusfuture,-0.005447792096911881,0.9226688784514882,,0.331,0.4013908631247104,320,16.915625,8.414036240673974,320
53,reward,-0.10040741210908949,0.07286923403180814,,0.29171874999999997,0.3059133593003704,320,16.915625,8.414036240673974,320
54,adj,0.07891999361598115,0.15900178091983347,,7.479625,1.3542725849602806,320,16.915625,8.414036240673974,320
55,moral,0.04544120459042452,0.41787436056477734,,0.20862499999999998,0.24154965198691553,320,16.915625,8.414036240673974,320
56,Exclam,-0.004298269098903854,0.9389503215559354,,0.00246875,0.025381445456031465,320,16.915625,8.414036240673974,320
57,Comma,-0.1277671797472116,0.022254176781454877,Negative,5.147375,1.3287962068635657,320,16.915625,8.414036240673974,320
58,conflict,0.22376588504189004,5.379250444306798e-05,Positive,0.22459375,0.3427277855105091,320,16.915625,8.414036240673974,320
59,affiliation,-0.12785252722940357,0.022164260433128434,Negative,2.7181875,1.7607732221509247,320,16.915625,8.414036240673974,320
60,quantity,-0.002128498835640284,0.9697460561404039,,2.9420625,1.2136319957440764,320,16.915625,8.414036240673974,320
61,tone_pos,-0.28336163806202924,2.534503502422303e-07,Negative,6.333,1.8139481456204862,320,16.915625,8.414036240673974,320
62,comm,-0.05753106533509366,0.30490590453289285,,0.77196875,0.5047259766679714,320,16.915625,8.414036240673974,320
63,swear,,,,0.0,0.0,320,16.915625,8.414036240673974,320
64,Analytic,-0.19632750544492059,0.0004113216598076644,Negative,30.67446875,14.825931074228473,320,16.915625,8.414036240673974,320
65,conj,-0.017375465728907608,0.7568432361146763,,9.897937500000001,1.3279914800531478,320,16.915625,8.414036240673974,320
66,need,0.040819725018387966,0.46682708605869994,,0.1958125,0.31782753160126015,320,16.915625,8.414036240673974,320
67,substances,,,,0.0,0.0,320,16.915625,8.414036240673974,320
68,leisure,-0.21663477220456342,9.360150594043934e-05,Negative,1.35490625,0.9514554593941523,320,16.915625,8.414036240673974,320
69,filler,,,,0.0,0.0,320,16.915625,8.414036240673974,320
70,certitude,0.0768820464020955,0.1700767395096069,,0.20975000000000002,0.34488847835206093,320,16.915625,8.414036240673974,320
71,Affect,-0.07434140417747398,0.18467693398134502,,8.08575,1.7616803235831409,320,16.915625,8.414036240673974,320
72,auxverb,0.18914463624685152,0.000671320517663829,Positive,8.846781250000001,1.5348273362656915,320,16.915625,8.414036240673974,320
73,i,0.07750969576519157,0.16660620532628517,,12.703218750000001,1.766027307871664,320,16.915625,8.414036240673974,320
74,assent,0.1036041704520544,0.06416102026948445,,0.010312499999999999,0.04844999838751287,320,16.915625,8.414036240673974,320
75,QMark,,,,0.0,0.0,320,16.915625,8.414036240673974,320
